;avgGS;lat;long;maxGS;minGS;numGS;stdDevGS;Country_Code;Avis;Date
925;2.8428571428571425;58.595272;25.013607;3.5;1.9;7;0.6630172220498455;EST;pos;2017-04-21
982;4.616666666666666;31.046051;34.851612;8.0;1.9;6;2.451813387859869;ISR;pos;2017-04-21
1358;7.25;4.4125000000000005;-8.25835;8.0;7.0;4;0.4330127018922194;AFR;pos;2017-04-21
1361;8.0;41.377491;64.585262;8.0;8.0;4;0.0;UZB;pos;2017-04-21
2991;-2.0;51.919438;19.145136;-2.0;-2.0;1;0.0;POL;neg;2017-04-21
257;-4.964285714285714;32.427908;53.688046;-2.0;-10.0;28;3.649678487377277;IRN;neg;2017-04-21
2159;-10.0;15.199999;-86.241905;-10.0;-10.0;2;0.0;HND;neg;2017-04-21
273;3.5807692307692305;-25.274398;133.775136;7.0;0.0;26;2.3337027743595056;AUS;pos;2017-04-21
2156;0.0;41.902916;12.453389;0.0;0.0;2;0.0;VAT;pos;2017-04-21
1636;2.1999999999999997;39.399872;-8.224454;2.8;1.9;3;0.42426406871192834;PRT;pos;2017-04-21
1387;-9.5;30.375321;69.345116;-9.0;-10.0;4;0.5;PAK;neg;2017-04-21
1629;4.466666666666667;33.854721;35.862285;7.0;3.0;3;1.7987650084309388;LBN;pos;2017-04-21
228;4.833333333333333;32.427908;53.688046;10.0;0.0;33;2.5868744059036173;IRN;pos;2017-04-21
302;-4.769565217391304;41.87194;12.56738;-0.4;-10.0;23;3.975515802750707;ITA;neg;2017-04-21
896;-7.571428571428571;36.204824;138.252924;-2.0;-10.0;7;3.529756885887382;JPN;neg;2017-04-21
887;2.8428571428571425;56.26392;9.501785;3.5;1.9;7;0.6630172220498455;DNK;pos;2017-04-21
884;-7.142857142857143;35.907757;127.766922;-4.0;-10.0;7;2.7479120088101916;KOR;neg;2017-04-21
332;-5.023809523809524;61.52401;105.318756;-0.3;-10.0;21;3.9830479788491195;RUS;neg;2017-04-21
863;2.4285714285714284;53.41291;-8.24389;7.4;1.0;7;2.0672371387325406;IRL;pos;2017-04-21
1412;2.7;23.424076;53.847818;7.0;0.0;4;2.6009613607279904;ARE;pos;2017-04-21
